id_cl;nombre;ciudad;presupuesto_en_miles;id_estadio
101;Junior de Barranquilla;Barranquilla;2413;200
102;Atletico Nacional;Medellin;2238;201
103;Deportes Tolima;Ibague;2148;202
104;Millonarios FC;Bogota;1910;203
105;CD America de Cali;Cali;1505;204
106;Independiente Medellin;Medellin;1503;205
107;Deportivo Cali;Cali;147;206
108;Independiente Santa Fe;Bogota;1450;207
109;Once Caldas;Manizales;1055;208
110;Alianza Petrolera;Barrancabermeja;96;209
111;CD La Equidad Seguros SA;Bogota;93;210
112;Atletico Bucaramanga;Bucaranga;895;211
113;Aguilas Doradas;Rionegro;86;212
114;Deportivo Pereira;Pereira;818;213
115;Jaguares de Cordoba;Cordoba;773;214
116;Asociacion Deportivo Pasto;Pasto;753;215
117;Envigado FC;Envigado;67;216
118;Boyaca Patriotas FC;Boyaca;610;217
119;Cortulua;Tulua;593;218
120;AD Union Magdalena;Santa Marta;455;219
