capacidad;nombre;id_es
46692;Metropolitano Roberto Melendez;200
44412;Atanasio Girardot;201
28100;Manuel Murillo Toro;202
36343;Estado el Campin;203
46400;Estadio Pascual Guerrero;204
44739;Estadio Atanasio Girardot;205
44000;Estadio Deportivo Cali;206
36343;Estadio El Campin;207
28678;Palogrande;208
10400;Daniel Villa Zapata;209
10000;Metropolitano de Techo;210
25000;Alfonso Lopez;211
14000;Estadio Alberto Grisales;212
30297;Hernan Ramirez Villegas;213
12000;Jaraguay;214
18000;Departamental Libertad;215
14000;Polideportivo Sur;216
25000;Estadio La Independencia;217
15300;Doce de Octubre;218
16000;Sierra Nevada;219
